Component Name,Variants (LTR/RTL/Light/Dark/States),Figma Import Notes,Auto Layout Config,Blur Effect,Additional Specs
GlassCard,LTR/Light + LTR/Dark + RTL/Light + RTL/Dark,Use Auto Layout + Blur Effect Layer. Apply sigma:15 backdrop-filter. Set fill to rgba(255,255,255,0.25) for Light and rgba(0,0,0,0.25) for Dark.,Vertical Auto Layout + 24px padding + 24px corner radius,Layer Effects → Background Blur → 15px,Support padding prop: 12/16/20/24px
GlassButton,LTR/Default + LTR/Pressed + RTL/Default + RTL/Pressed,Auto Layout with icon+text. Pressed state: scale(0.95) + opacity(0.8). Add Coral gradient overlay.,Horizontal Auto Layout + icon 20px + text 16px + 16px gap,Blur: 15px + gradient overlay,Gradient: Linear #FF7F50 → white 0.8 opacity
LanguageSwitchBar,LTR/ZH→UG + LTR/UG→ZH + RTL mirror,3-button layout: Source/Swap/Target. RTL: reverse button order (Target/Swap/Source). Swap icon rotates 180° in RTL.,Horizontal Auto Layout + space-between + 48px button height,Blur: 10px per button,Active state: Coral background + white text
ModeSegmentedControl,LTR/Text + LTR/Voice + LTR/Camera + LTR/Document + RTL variants,TabBar with 4 modes. Selected: Glass background + Coral border. RTL: reverse tab order.,Horizontal Auto Layout + fill container + equal spacing,Selected tab: Blur 15px,Unselected: opacity 0.6 + no blur
ChatBubble,LTR/Sent + LTR/Received + RTL/Sent + RTL/Received,Bubble with tail. LTR Sent: right-aligned + tail right. RTL Sent: left-aligned + tail left (mirrored). Include original/translated text + speaker icon.,Vertical Auto Layout + 12px padding + max-width 70%,Blur: 10px + gradient,Sent: Coral gradient. Received: white 0.3 opacity
DictSectionCard,LTR/Basic + LTR/Examples + LTR/Related + RTL variants,Glass card with section title + content list. Examples section includes speaker/copy icons per row.,Vertical Auto Layout + 16px title + 8px spacing + list items,Blur: 15px,Title: 18px bold. Content: 14px regular
VoiceInputMicButton,Default + Listening/Ripple1 + Listening/Ripple2 + Listening/Ripple3,Center mic icon. Default: static circle. Listening: scale(1.0→1.5) + 3 ripple layers. Use Component Property for state.,120px circle + center-aligned icon,Pulse glow: shadow spread 5px + opacity(0.3→0.8),Ripple sizes: 180px/160px/140px with 2px white border
HistoryListItem,LTR/Default + LTR/Editing + RTL/Default + RTL/Editing,Glass card with original/translated text + action icons. Editing state: show TextField with check icon.,Vertical Auto Layout + 12px padding + right-aligned icons,Blur: 10px,Icons: 20px size + white60 color. Editing: Coral check icon
LanguageSwitcherModal,LTR/Light + LTR/Dark + RTL variants,Center modal with language options (zh/ug radio buttons). Glass background with blur.,Vertical Auto Layout + 300px width + center-aligned,Blur: 20px + rgba(255,255,255,0.9),Buttons: 48px height + Coral gradient on apply
OnboardingCard,LTR/Page1 + LTR/Page2 + LTR/Page3 + RTL variants,Full-screen card with icon/title/description. Page indicator dots. RTL: dots right-aligned.,Vertical Auto Layout + center-aligned + 80% width,Blur: 15px,Icon: 64px. Title: 24px bold. Description: 16px
TranslateResultCard,LTR/Source + LTR/Target + RTL variants,Glass card with title + text + action icons (speaker/copy/favorite). Source: top card. Target: bottom card.,Vertical Auto Layout + 20px padding + icon row at bottom,Blur: 15px,Action icons: 24px + horizontal spacing 16px
CameraPreviewFrame,LTR + RTL,Dashed border container with center crosshair. Bottom buttons: Capture/Gallery.,Vertical Auto Layout + fill container + bottom-aligned buttons,No blur (transparent preview),Preview: AspectRatio 3:4. Buttons: 56px circle
SearchBarGlass,LTR + RTL,Glass TextField with search icon. RTL: icon right-aligned.,Horizontal Auto Layout + icon 20px + TextField fill,Blur: 15px,Border-radius: 20px. Height: 48px
RLExportModal,LTR/Ready + LTR/Exporting + RTL variants,Center modal with export stats (corrections count / pairs count). Buttons: Cancel/Export.,Vertical Auto Layout + 320px width + center-aligned,Blur: 20px + rgba(255,255,255,0.95),Exporting state: loading spinner + disabled buttons
SplashLogo,Default,Center logo with Coral gradient background. Glass card container.,Vertical Auto Layout + center-aligned + 200px width,Blur: 15px,Background: Linear gradient #FF7F50 → #FF6B6B → #FF8E53
DictionarySearchResult,LTR + RTL,Glass card with word + pronunciation + brief meaning. Speaker icon.,Vertical Auto Layout + 16px padding + left-aligned (RTL: right),Blur: 10px,Word: 20px bold. Pronunciation: 14px italic. Meaning: 14px regular
SettingsSectionHeader,LTR + RTL,Section title with divider line. RTL: right-aligned text.,Horizontal Auto Layout + title + divider line fill,No blur,Title: 16px bold. Divider: 1px gray line
